time,open,high,low,close,tick_volume
2025-02-05 03:00:00,1.03786,1.03864,1.03723,1.03732,1874
2025-02-05 04:00:00,1.03733,1.03849,1.03728,1.03843,1592
2025-02-05 05:00:00,1.03844,1.0386,1.0379,1.03793,1142
2025-02-05 06:00:00,1.03792,1.03821,1.03761,1.03784,916
2025-02-05 07:00:00,1.03785,1.03785,1.03731,1.03777,1114
2025-02-05 08:00:00,1.03775,1.03938,1.0374,1.03849,1505
2025-02-05 09:00:00,1.03847,1.04095,1.03821,1.04026,2425
2025-02-05 10:00:00,1.0402,1.04084,1.03901,1.04036,2862
2025-02-05 11:00:00,1.04037,1.04175,1.04015,1.04039,2524
2025-02-05 12:00:00,1.04039,1.04304,1.04019,1.04244,2206
2025-02-05 13:00:00,1.0425,1.04251,1.04115,1.04147,1684
2025-02-05 14:00:00,1.04147,1.04217,1.04106,1.0419,1762
2025-02-05 15:00:00,1.04188,1.04256,1.04015,1.04077,2999
2025-02-05 16:00:00,1.04077,1.0426,1.04062,1.04205,2950
2025-02-05 17:00:00,1.04331,1.04424,1.0415,1.0422,3831
2025-02-05 18:00:00,1.04218,1.04246,1.04104,1.04179,2568
2025-02-05 19:00:00,1.0418,1.04237,1.04103,1.04197,1704
2025-02-05 20:00:00,1.04197,1.04216,1.04142,1.04154,1430
2025-02-05 21:00:00,1.04154,1.04167,1.04043,1.04069,1458
2025-02-05 22:00:00,1.04069,1.04069,1.0401,1.04047,1158
2025-02-05 23:00:00,1.04044,1.04064,1.03968,1.04012,736
2025-02-06 00:00:00,1.03993,1.04038,1.03985,1.04027,261
2025-02-06 01:00:00,1.04033,1.04063,1.0397,1.03984,687
2025-02-06 02:00:00,1.03985,1.04022,1.03947,1.03974,1156
2025-02-06 03:00:00,1.03974,1.04045,1.03953,1.04026,1631
2025-02-06 04:00:00,1.04023,1.04053,1.03908,1.0395,1379
2025-02-06 05:00:00,1.03949,1.03962,1.03896,1.03918,1178
2025-02-06 06:00:00,1.03918,1.03936,1.03851,1.03869,847
2025-02-06 07:00:00,1.03869,1.03901,1.0386,1.03863,969
2025-02-06 08:00:00,1.03864,1.03924,1.03856,1.03901,1215
2025-02-06 09:00:00,1.03898,1.03913,1.03779,1.03799,1928
2025-02-06 10:00:00,1.038,1.03807,1.03561,1.03648,2490
2025-02-06 11:00:00,1.03649,1.03677,1.03562,1.03594,1908
2025-02-06 12:00:00,1.03595,1.03663,1.03559,1.03624,1771
2025-02-06 13:00:00,1.03623,1.03675,1.03579,1.03619,1715
2025-02-06 14:00:00,1.03619,1.03634,1.03525,1.03618,2840
2025-02-06 15:00:00,1.03616,1.0367,1.03534,1.03604,2844
2025-02-06 16:00:00,1.03601,1.03746,1.03597,1.03621,2649
2025-02-06 17:00:00,1.03621,1.03763,1.03609,1.03692,3104
2025-02-06 18:00:00,1.03691,1.03759,1.03666,1.03668,2229
2025-02-06 19:00:00,1.03668,1.03803,1.03658,1.0379,1573
2025-02-06 20:00:00,1.03789,1.03962,1.03739,1.03892,2142
2025-02-06 21:00:00,1.03892,1.03911,1.03803,1.03851,1408
2025-02-06 22:00:00,1.03846,1.03908,1.03839,1.0389,1119
2025-02-06 23:00:00,1.03884,1.03893,1.03816,1.03818,608
2025-02-07 00:00:00,1.03809,1.03847,1.03795,1.03823,236
2025-02-07 01:00:00,1.03825,1.03866,1.03819,1.03849,628
2025-02-07 02:00:00,1.03849,1.03907,1.03774,1.03775,1112
2025-02-07 03:00:00,1.03776,1.03866,1.03742,1.03837,1626
2025-02-07 04:00:00,1.03837,1.0386,1.03809,1.03841,1245
2025-02-07 05:00:00,1.03841,1.03848,1.03772,1.03796,936
2025-02-07 06:00:00,1.03797,1.03833,1.03757,1.03811,771
2025-02-07 07:00:00,1.03811,1.03815,1.03739,1.03749,972
2025-02-07 08:00:00,1.03749,1.0377,1.03724,1.0376,1161
2025-02-07 09:00:00,1.0376,1.03901,1.0374,1.03891,1509
2025-02-07 10:00:00,1.03891,1.03997,1.03853,1.03977,1914
2025-02-07 11:00:00,1.03976,1.03992,1.03899,1.03909,1750
2025-02-07 12:00:00,1.03909,1.03912,1.0379,1.03812,1550
2025-02-07 13:00:00,1.03813,1.03839,1.03773,1.03822,1403
2025-02-07 14:00:00,1.03823,1.03823,1.03682,1.03742,1666
2025-02-07 15:00:00,1.03742,1.04123,1.03492,1.03636,3856
2025-02-07 16:00:00,1.03635,1.03886,1.03607,1.03838,3401
2025-02-07 17:00:00,1.03806,1.03876,1.03271,1.0355,4175
2025-02-07 18:00:00,1.03552,1.03552,1.03216,1.03277,4279
2025-02-07 19:00:00,1.03279,1.03598,1.03051,1.03216,3904
2025-02-07 20:00:00,1.03215,1.03356,1.03207,1.03248,1804
2025-02-07 21:00:00,1.0325,1.03368,1.03237,1.03322,1842
2025-02-07 22:00:00,1.03325,1.03382,1.03214,1.03278,1443
2025-02-07 23:00:00,1.0328,1.03323,1.03227,1.03262,877
2025-02-10 00:00:00,1.02966,1.03007,1.02779,1.02895,676
2025-02-10 01:00:00,1.02893,1.03134,1.02893,1.03096,1361
2025-02-10 02:00:00,1.03097,1.03183,1.03092,1.03101,1464
2025-02-10 03:00:00,1.031,1.03145,1.02998,1.03028,1784
2025-02-10 04:00:00,1.03028,1.03066,1.02985,1.02997,1234
2025-02-10 05:00:00,1.02995,1.03115,1.02995,1.03114,924
2025-02-10 06:00:00,1.03113,1.03158,1.03111,1.03131,741
2025-02-10 07:00:00,1.03135,1.03214,1.0313,1.03161,877
2025-02-10 08:00:00,1.03162,1.03197,1.03121,1.03188,1139
2025-02-10 09:00:00,1.03187,1.03253,1.03099,1.03128,2050
2025-02-10 10:00:00,1.03127,1.03229,1.03067,1.03221,2472
2025-02-10 11:00:00,1.03222,1.0334699999999999,1.03208,1.03268,2089
2025-02-10 12:00:00,1.03264,1.03336,1.03233,1.03298,1477
2025-02-10 13:00:00,1.03296,1.0336400000000001,1.03201,1.03204,1712
2025-02-10 14:00:00,1.03204,1.03222,1.03085,1.03136,1862
2025-02-10 15:00:00,1.03141,1.03262,1.03141,1.03214,1905
2025-02-10 16:00:00,1.03215,1.03234,1.03043,1.03111,2297
2025-02-10 17:00:00,1.03114,1.03198,1.03105,1.0315,2272
2025-02-10 18:00:00,1.03151,1.0318,1.03044,1.03113,2041
2025-02-10 19:00:00,1.03114,1.03146,1.03066,1.03123,1411
2025-02-10 20:00:00,1.03123,1.03159,1.03058,1.0307,1203
2025-02-10 21:00:00,1.0307,1.03107,1.03052,1.03067,1032
2025-02-10 22:00:00,1.03067,1.03082,1.03048,1.03067,883
2025-02-10 23:00:00,1.03067,1.03081,1.03049,1.0306,437
2025-02-11 00:00:00,1.03024,1.03083,1.03012,1.03042,419
2025-02-11 01:00:00,1.03041,1.03071,1.02983,1.03005,868
2025-02-11 02:00:00,1.03006,1.03065,1.02997,1.03047,669
2025-02-11 03:00:00,1.03046,1.03046,1.03,1.03018,1140
2025-02-11 04:00:00,1.03019,1.03027,1.02921,1.0293,1145
2025-02-11 05:00:00,1.0293,1.03004,1.0292,1.02981,842
2025-02-11 06:00:00,1.02981,1.03041,1.02975,1.03041,742
2025-02-11 07:00:00,1.03041,1.03058,1.03021,1.03047,772
2025-02-11 08:00:00,1.03046,1.03102,1.0304,1.03051,1173
2025-02-11 09:00:00,1.03051,1.03077,1.03009,1.03032,1716
2025-02-11 10:00:00,1.03032,1.03196,1.02998,1.03181,2038
2025-02-11 11:00:00,1.03181,1.03219,1.03126,1.03177,1967
2025-02-11 12:00:00,1.03178,1.03249,1.03143,1.0316,1652
2025-02-11 13:00:00,1.0316,1.03225,1.03157,1.03217,1266
2025-02-11 14:00:00,1.03216,1.03286,1.03203,1.03219,1616
2025-02-11 15:00:00,1.0322,1.03259,1.03164,1.03223,1910
2025-02-11 16:00:00,1.03221,1.03369,1.03216,1.03322,2058
2025-02-11 17:00:00,1.03327,1.03432,1.03281,1.034,2567
2025-02-11 18:00:00,1.03399,1.0351,1.03392,1.03457,2155
2025-02-11 19:00:00,1.03456,1.03485,1.03434,1.03453,1399
2025-02-11 20:00:00,1.03452,1.03514,1.03444,1.03453,1258
2025-02-11 21:00:00,1.03452,1.0381,1.03418,1.03583,1771
2025-02-11 22:00:00,1.0358,1.03674,1.03575,1.03629,1493
2025-02-11 23:00:00,1.03627,1.03639,1.03588,1.03602,590
2025-02-12 00:00:00,1.03604,1.03632,1.03562,1.03594,306
2025-02-12 01:00:00,1.03589,1.03674,1.03584,1.0363,628
2025-02-12 02:00:00,1.0364,1.03641,1.03564,1.03574,896
2025-02-12 03:00:00,1.03572,1.03639,1.03539,1.03603,1481
2025-02-12 04:00:00,1.03603,1.03676,1.03603,1.03624,1223
2025-02-12 05:00:00,1.03623,1.0365199999999999,1.03586,1.0362,1169
2025-02-12 06:00:00,1.0362,1.03633,1.0356,1.03562,917
2025-02-12 07:00:00,1.03563,1.03593,1.03549,1.03583,915
2025-02-12 08:00:00,1.03584,1.036,1.0357,1.03589,954
2025-02-12 09:00:00,1.03589,1.03791,1.03587,1.03754,1892
2025-02-12 10:00:00,1.03758,1.03799,1.0368,1.03711,2315
2025-02-12 11:00:00,1.0371,1.0374,1.03648,1.03734,1796
2025-02-12 12:00:00,1.03738,1.03771,1.03699,1.03755,1611
2025-02-12 13:00:00,1.03753,1.03856,1.03735,1.03751,1772
2025-02-12 14:00:00,1.0375,1.0379,1.0372,1.03728,1730
2025-02-12 15:00:00,1.03728,1.03759,1.0317,1.03332,3940
2025-02-12 16:00:00,1.03322,1.03532,1.03255,1.035,3435
2025-02-12 17:00:00,1.035,1.03824,1.0338,1.03743,4025
2025-02-12 18:00:00,1.03742,1.04044,1.03502,1.03898,3212
2025-02-12 19:00:00,1.03914,1.04273,1.03907,1.0426,3571
2025-02-12 20:00:00,1.04261,1.04298,1.03874,1.03893,2549
2025-02-12 21:00:00,1.03892,1.03933,1.03846,1.03909,1683
2025-02-12 22:00:00,1.0391,1.03972,1.03879,1.03917,1315
2025-02-12 23:00:00,1.03919,1.03935,1.03807,1.03813,829
2025-02-13 00:00:00,1.03772,1.03859,1.03769,1.03826,268
2025-02-13 01:00:00,1.03826,1.03921,1.03826,1.03921,713
2025-02-13 02:00:00,1.03922,1.04003,1.03881,1.03895,1073
2025-02-13 03:00:00,1.03895,1.04017,1.03872,1.03995,1749
2025-02-13 04:00:00,1.03999,1.04076,1.03965,1.04038,1375
2025-02-13 05:00:00,1.04039,1.04217,1.04033,1.0419,1242
2025-02-13 06:00:00,1.04188,1.04353,1.04187,1.04347,1633
2025-02-13 07:00:00,1.04346,1.04382,1.04306,1.04349,1596
2025-02-13 08:00:00,1.04349,1.04399,1.04285,1.04307,1926
2025-02-13 09:00:00,1.04307,1.04366,1.04226,1.04255,2556
2025-02-13 10:00:00,1.04257,1.04263,1.04101,1.04135,2644
2025-02-13 11:00:00,1.04137,1.04262,1.04109,1.04226,2162
2025-02-13 12:00:00,1.04228,1.0429,1.04135,1.04157,1848
2025-02-13 13:00:00,1.04164,1.04273,1.03925,1.04031,2339
2025-02-13 14:00:00,1.04028,1.04033,1.03856,1.03892,2569
2025-02-13 15:00:00,1.03897,1.04069,1.03758,1.03925,3292
2025-02-13 16:00:00,1.03922,1.04013,1.03816,1.03996,3140
2025-02-13 17:00:00,1.03994,1.04383,1.03994,1.04332,4286
2025-02-13 18:00:00,1.04333,1.04451,1.04241,1.04276,2654
2025-02-13 19:00:00,1.04272,1.04388,1.0425,1.04254,1900
2025-02-13 20:00:00,1.04253,1.04316,1.03728,1.04093,3646
2025-02-13 21:00:00,1.04092,1.04426,1.04085,1.0437,2567
2025-02-13 22:00:00,1.0437,1.04657,1.04355,1.04616,1628
2025-02-13 23:00:00,1.0462,1.04669,1.04572,1.04627,846
2025-02-14 00:00:00,1.04589,1.04676,1.04588,1.04658,370
2025-02-14 01:00:00,1.04649,1.04673,1.04561,1.04615,886
2025-02-14 02:00:00,1.04615,1.04668,1.04578,1.04608,1354
2025-02-14 03:00:00,1.04608,1.04668,1.04582,1.04592,1616
2025-02-14 04:00:00,1.04591,1.0461,1.04551,1.04567,1256
2025-02-14 05:00:00,1.04566,1.04615,1.04537,1.04588,997
2025-02-14 06:00:00,1.04588,1.04638,1.04547,1.04548,897
2025-02-14 07:00:00,1.0455,1.04557,1.0447,1.04526,1114
2025-02-14 08:00:00,1.04526,1.04609,1.04517,1.04585,1486
2025-02-14 09:00:00,1.04584,1.0472,1.04583,1.04647,2310
2025-02-14 10:00:00,1.04649,1.04863,1.04635,1.04766,2771
2025-02-14 11:00:00,1.04766,1.04877,1.04757,1.04811,2215
2025-02-14 12:00:00,1.04812,1.04828,1.04646,1.0467,1813
2025-02-14 13:00:00,1.0467,1.04691,1.04629,1.04674,1741
2025-02-14 14:00:00,1.04672,1.04744,1.0457,1.04716,1944
2025-02-14 15:00:00,1.04716,1.04977,1.04712,1.04881,3109
2025-02-14 16:00:00,1.04888,1.0514000000000001,1.04872,1.05086,2926
2025-02-14 17:00:00,1.05086,1.05125,1.04909,1.0508,3059
2025-02-14 18:00:00,1.0507900000000001,1.05099,1.04969,1.04974,2163
