time,open,high,low,close,tick_volume,spread,real_volume
2024-11-13 08:30:00,2605.8,2606.69,2604.51,2605.33,2011,14,0
2024-11-13 09:00:00,2605.34,2607.41,2604.3,2606.27,1780,14,0
2024-11-13 09:30:00,2606.29,2607.28,2605.26,2606.24,1889,14,0
2024-11-13 10:00:00,2605.99,2606.04,2601.06,2604.71,2463,5,0
2024-11-13 10:30:00,2604.71,2610.66,2604.61,2607.62,2267,14,0
2024-11-13 11:00:00,2607.65,2610.56,2607.39,2609.51,2126,14,0
2024-11-13 11:30:00,2609.51,2611.6,2608.1,2608.65,2149,14,0
2024-11-13 12:00:00,2608.6,2610.0,2607.01,2609.92,1969,14,0
2024-11-13 12:30:00,2609.88,2610.44,2606.93,2609.06,1816,14,0
2024-11-13 13:00:00,2609.07,2611.6,2608.22,2608.7,1677,14,0
2024-11-13 13:30:00,2608.54,2610.89,2605.85,2610.82,2150,10,0
2024-11-13 14:00:00,2610.83,2612.71,2609.78,2610.53,2087,9,0
2024-11-13 14:30:00,2610.37,2611.6,2608.93,2609.65,2175,14,0
2024-11-13 15:00:00,2609.65,2610.98,2607.13,2608.1,2738,6,0
2024-11-13 15:30:00,2611.94,2618.81,2608.1,2612.31,3384,10,0
2024-11-13 16:00:00,2612.21,2616.36,2610.98,2613.31,3123,11,0
2024-11-13 16:30:00,2613.27,2615.21,2601.2,2602.29,3281,7,0
2024-11-13 17:00:00,2602.16,2603.03,2593.63,2597.23,3281,5,0
2024-11-13 17:30:00,2597.11,2606.89,2596.93,2605.37,3173,8,0
2024-11-13 18:00:00,2605.29,2605.95,2595.65,2595.65,2924,5,0
2024-11-13 18:30:00,2595.7,2596.56,2584.74,2585.82,2890,5,0
2024-11-13 19:00:00,2585.73,2586.75,2577.56,2578.74,2970,5,0
2024-11-13 19:30:00,2578.7,2585.03,2578.7,2583.32,2753,5,0
2024-11-13 20:00:00,2583.29,2585.42,2579.9,2580.63,2459,9,0
2024-11-13 20:30:00,2580.58,2584.0,2579.56,2582.75,2195,14,0
2024-11-13 21:00:00,2582.75,2584.78,2580.7,2584.23,1971,9,0
2024-11-13 21:30:00,2584.25,2584.57,2580.59,2580.98,1940,5,0
